company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
/company/1000memories,1000memories,web,USA,CA,SF Bay,San Francisco,/company/ancestry-com,Ancestry,ecommerce,USA,UT,Salt Lake City,Provo,2012-10-03,2012-10,2012-Q4,2012,,USD
/company/100plus,100Plus,analytics,USA,CA,SF Bay,San Francisco,/company/practice-fusion,Practice Fusion,health,USA,CA,SF Bay,San Francisco,2013-02-27,2013-02,2013-Q1,2013,,USD
/company/10best,10best,web,USA,SC,Greenville,Greenville,/company/nile-guide,NileGuide,travel,USA,CA,SF Bay,San Francisco,2011-01-25,2011-01,2011-Q1,2011,,USD
/company/10east,10East,network_hosting,USA,FL,Jacksonville,Jacksonville,/company/railcar-management,Railcar Management,enterprise,,,unknown,,2009-04-14,2009-04,2009-Q2,2009,,USD
/company/12society,12Society,ecommerce,USA,CA,Los Angeles,West Hollywood,/company/quarterly,Quarterly,web,USA,CA,Los Angeles,West Hollywood,2013-07-03,2013-07,2013-Q3,2013,,USD
/company/170-systems,170 Systems,software,USA,MA,Boston,Bedford,/company/kofax,Kofax,software,USA,CA,Los Angeles,Irvine,2009-09-08,2009-09,2009-Q3,2009,43000000,USD
/company/1st-choice-security-solutions,1st Choice Security Solutions,security,USA,GA,Atlanta,Atlanta,/company/comcam,ComCam,,USA,PA,Philadelphia,West Chester,2011-04-13,2011-04,2011-Q2,2011,,USD
/company/24-7-real-media,24/7 Real Media,advertising,USA,NY,New York,New York,/company/wpp,WPP,public_relations,USA,NY,New York,New York,2008-05-17,2008-05,2008-Q2,2008,649000000,USD
/company/2ergo,2ergo,mobile,USA,VA,Washington DC,Arlington,/company/soundbite-communication,SoundBite Communications,public_relations,USA,VA,Bedford,Bedford,2012-02-01,2012-02,2012-Q1,2012,,USD
/company/2nd-story-software-inc,"2nd Story Software, Inc.",software,USA,IA,Cedar Rapids,Cedar Rapids,/company/blucora,Blucora,web,USA,WA,Seattle,Bellevue,2012-01-09,2012-01,2012-Q1,2012,287500000,USD
/company/2wire,2Wire,web,USA,CA,SF Bay,San Jose,/company/pace,Pace,hardware,GBR,,England,England,2010-07-26,2010-07,2010-Q3,2010,475000000,USD
/company/3001,3001,,USA,VA,Washington DC,Fairfax,/company/northrop-grumman,Northrop Grumman,security,USA,CA,Los Angeles,Los Angeles,2008-09-10,2008-09,2008-Q3,2008,,USD
/company/360-vantage,360 Vantage,mobile,USA,AZ,Phoenix,Chandler,/company/ims-health,IMS Health,web,USA,CT,Danbury,Danbury,2013-05-20,2013-05,2013-Q2,2013,,USD
/company/360commerce,360Commerce,,USA,TX,Austin,Austin,/company/oracle,Oracle Corporation,enterprise,USA,CA,SF Bay,Redwood City,2006-01-18,2006-01,2006-Q1,2006,,USD
/company/360networks,360networks,public_relations,USA,WA,Seattle,Seattle,/company/zayo-bandwidth,Zayo Bandwidth,network_hosting,USA,CO,Denver,Louisville,2011-12-02,2011-12,2011-Q4,2011,,USD
/company/360networks,360networks,public_relations,USA,WA,Seattle,Seattle,/company/zayo-group,Zayo Group,public_relations,USA,CO,Denver,Louisville,2011-10-01,2011-10,2011-Q4,2011,,USD
/company/3com,3Com,web,USA,MA,Boston,Marlborough,/company/hewlett-packard,Hewlett-Packard,web,USA,CA,SF Bay,Palo Alto,2009-11-11,2009-11,2009-Q4,2009,2700000000,USD
/company/3d3r,3D3R Software Studio,software,USA,CA,SF Bay,Santa Clara,/company/chegg,Chegg,education,USA,CA,SF Bay,Santa Clara,2011-11-14,2011-11,2011-Q4,2011,,USD
/company/3di-technologies,3Di Technologies Inc,software,USA,MD,Washington DC,Hanover,/company/l-3-communications,L-3 Communications,mobile,USA,MA,Boston,Canton,2010-09-21,2010-09,2010-Q3,2010,,USD
/company/3e-company,3E Company,cleantech,USA,CA,San Diego,Carlsbad,/company/verisk-analytics,Verisk Analytics,public_relations,USA,NJ,New York,Jersey City,2010-12-07,2010-12,2010-Q4,2010,110000000,USD
/company/3one-media-hawaii,3One Media Hawaii,network_hosting,USA,HI,Honolulu,Honolulu,/company/us-internet,US Internet,network_hosting,USA,MN,Minneapolis,Minnetonka,2001-02-01,2001-02,2001-Q1,2001,,USD
/company/3par,3PAR,software,USA,CA,SF Bay,Fremont,/company/hewlett-packard,Hewlett-Packard,web,USA,CA,SF Bay,Palo Alto,2010-09-02,2010-09,2010-Q3,2010,2350000000,USD
/company/3pd-inc,"3PD, Inc.",other,USA,GA,Atlanta,Marietta,/company/xpo-logistics,XPO Logistics,ecommerce,USA,CT,New York,Greenwich,2013-08-16,2013-08,2013-Q3,2013,365000000,USD
/company/3tera,3Tera,enterprise,USA,CA,Los Angeles,Aliso Viejo,/company/ca,CA Technologies,software,USA,NY,Islandia,Islandia,2010-02-24,2010-02,2010-Q1,2010,,USD
/company/3x-systems,3X Systems,security,USA,OH,Columbus,Columbus,/company/trustyd,Trustyd,,,,unknown,,2012-10-25,2012-10,2012-Q4,2012,,USD
/company/4home,4Home,software,USA,CA,SF Bay,Sunnyvale,/company/motorola-solutions,Motorola Solutions,enterprise,USA,IL,Chicago,Schaumburg,2010-12-01,2010-12,2010-Q4,2010,,USD
/company/4mads,4Mads,advertising,USA,CA,SF Bay,San francisco,/company/insequent,InSequent,mobile,USA,CA,SF Bay,San Francisco,2012-11-10,2012-11,2012-Q4,2012,,USD
/company/5min,5min Media,games_video,USA,NY,New York,NY,/company/aol,AOL,web,USA,NY,New York,New York,2010-09-28,2010-09,2010-Q3,2010,65000000,USD
/company/5square-com,5Square.com,software,USA,CA,Los Angeles,Westlake Village,/company/imagiclab,iMagicLab,software,USA,MD,Washington DC,Owings Mills,2008-07-09,2008-07,2008-Q3,2008,,USD
/company/6th-sense-analytics,6th Sense Analytics,software,USA,NC,Raleigh-Durham,Morrisville,/company/rally-software,Rally Software,enterprise,USA,CO,Denver,Boulder,2009-01-14,2009-01,2009-Q1,2009,,USD
/company/7ticks,7ticks,hardware,USA,IL,Chicago,Chicago,/company/interactive-data,Interactive Data,software,USA,MA,Boston,Bedford,2009-12-14,2009-12,2009-Q4,2009,,USD
/company/80-20,80/20,hardware,USA,NY,New York,New York,/company/square,Square,mobile,USA,CA,SF Bay,San Francisco,2012-10-01,2012-10,2012-Q4,2012,,USD
/company/8x8-inc,8x8 Inc,network_hosting,USA,CA,SF Bay,San Jose,/company/contactual,Contactual,public_relations,USA,CA,SF Bay,Redwood City,2011-09-15,2011-09,2011-Q3,2011,,USD
/company/a-bit-lucky,A Bit Lucky,games_video,USA,CA,SF Bay,San Mateo,/company/zynga,Zynga,games_video,USA,CA,SF Bay,San Francisco,2012-09-17,2012-09,2012-Q3,2012,,USD
/company/a-life-medical,A-Life Medical,biotech,USA,CA,San Diego,San Diego,/company/ingenix,Ingenix,consulting,USA,MN,Minneapolis,Eden Prairie,2010-09-21,2010-09,2010-Q3,2010,,USD
/company/a1vacations,A1Vacations,,USA,VA,Hardy,Hardy,/company/homeaway,HomeAway,travel,USA,TX,Austin,Austin,2005-02-01,2005-02,2005-Q1,2005,,USD
/company/aardvark,Aardvark,web,USA,CA,SF Bay,San Francisco,/company/google,Google,search,USA,CA,SF Bay,Mountain View,2010-02-11,2010-02,2010-Q1,2010,50000000,USD
/company/abacus-transcriptions,Abacus Transcriptions,,USA,TX,Houston,Houston,/company/imedx,iMedX,enterprise,USA,CT,Shelton,Shelton,2011-12-21,2011-12,2011-Q4,2011,,USD
/company/abcro,AbCRO,biotech,USA,,Los Angeles,"Wilmington,",/company/ppd,PPD,biotech,USA,NC,Wilmington,Wilmington,2009-04-21,2009-04,2009-Q2,2009,,USD
/company/abilitycrm,AbilityCRM,,USA,AZ,Phoenix,Scottsdale,/company/business-decision,Business & Decision,consulting,USA,PA,Philadelphia,Wayne,2012-07-02,2012-07,2012-Q3,2012,,USD
/company/about-me,About Me!,,USA,CA,California - Other,,/company/shutterfly,Shutterfly,ecommerce,USA,CA,SF Bay,Redwood City,2007-06-27,2007-06,2007-Q2,2007,,USD
/company/about-com,About.com,web,USA,,United States - Other,,/company/newyorktimes,New York Times,news,USA,NY,New York,New York,2005-03-18,2005-03,2005-Q1,2005,410000000,USD
/company/about-com,About.com,web,USA,,United States - Other,,/company/iac,IAC,news,USA,NY,New York,New York,2012-08-27,2012-08,2012-Q3,2012,300000000,USD
/company/aboutme,about.me,web,USA,CA,SF Bay,San Francisco,/company/aol,AOL,web,USA,NY,New York,New York,2010-12-20,2010-12,2010-Q4,2010,35000000,USD
/company/aboutme,about.me,web,USA,CA,SF Bay,San Francisco,/company/tony-conrad-ryan-freitas,Tony Conrad & Ryan Freitas,,,,unknown,,2013-02-05,2013-02,2013-Q1,2013,,USD
/company/abovenet,AboveNet,network_hosting,USA,NY,New York,White Plains,/company/zayo-group,Zayo Group,public_relations,USA,CO,Denver,Louisville,2012-07-02,2012-07,2012-Q3,2012,,USD
/company/abovenet,AboveNet,network_hosting,USA,NY,New York,White Plains,/company/zayo-bandwidth,Zayo Bandwidth,network_hosting,USA,CO,Denver,Louisville,2012-03-19,2012-03,2012-Q1,2012,2200000000,USD
/company/abr-affinity-bioreagents,ABR--Affinity BioReagents,biotech,USA,CO,Denver,Golden,/company/thermo-fisher-scientific,Thermo Fisher Scientific,biotech,USA,MA,Boston,Waltham,2008-07-17,2008-07,2008-Q3,2008,,USD
/company/abraxis-bioscience,Abraxis BioScience,biotech,USA,CA,Los Angeles,Los Angeles,/company/celgene,Celgene,biotech,USA,NJ,Summit,Summit,2010-06-30,2010-06,2010-Q2,2010,2900000000,USD
/company/absorbent-ink,"Absorbent, Ink.",ecommerce,USA,TX,Austin,Austin,/company/printglobe,PrintGlobe,ecommerce,USA,TX,Austin,Austin,2010-01-12,2010-01,2010-Q1,2010,,USD
/company/academic-earth,Academic Earth,education,USA,CA,SF Bay,San Francisco,/company/ampush-media,Ampush,advertising,USA,CA,SF Bay,San Francisco,2011-10-10,2011-10,2011-Q4,2011,,USD
/company/academic-management-systems,Academic Management Systems,,USA,NY,Amherst,Amherst,/company/connectedu,ConnectEdu,education,USA,MA,Boston,Boston,2010-09-24,2010-09,2010-Q3,2010,,USD
/company/academy123,Academy123,,USA,CA,Los Angeles,Westlake Village,/company/discoverycommunications,Discovery Communications,web,USA,,TBD,,2006-05-01,2006-05,2006-Q2,2006,,USD
/company/acadia,Acadia,enterprise,USA,TX,Dallas,Dallas,/company/vce,VCE,enterprise,USA,TX,Dallas,Richardson,2011-01-20,2011-01,2011-Q1,2011,,USD
/company/accela-communications,Accela Communications,public_relations,USA,MA,Boston,Southborough,/company/kit-digital,KIT digital,enterprise,CZE,,Prague,Prague,2010-09-09,2010-09,2010-Q3,2010,4700000,USD
/company/accent-food-services,Accent Food Services,,USA,TX,Austin,Austin,/company/silver-oak-services-partners,Silver Oak Services Partners,,USA,IL,Chicago,Evanston,2008-12-01,2008-12,2008-Q4,2008,,USD
/company/accenx-technologies,Accenx Technologies,software,USA,CA,Los Angeles,Irvine,/company/initiate-systems,Initiate Systems,enterprise,USA,IL,Chicago,Chicago,2009-10-01,2009-10,2009-Q4,2009,,USD
/company/accept-software,Accept Software,software,USA,CA,SF Bay,Santa Clara,/company/artemis-international,Artemis International,,USA,TX,Austin,Austin,2012-10-09,2012-10,2012-Q4,2012,,USD
/company/acceptys,Acceptys,biotech,USA,NJ,Sparta,Sparta,/company/patrys,Patrys,biotech,AUS,,Melbourne,"Melbourne, VIC",2008-10-27,2008-10,2008-Q4,2008,2820000,USD
/company/accertify,Accertify,security,USA,IL,Chicago,Itasca,/company/americanexpress,American Express,other,USA,,TBD,,2010-11-01,2010-11,2010-Q4,2010,150000000,USD
/company/access-communications,Access Communications,public_relations,USA,CA,SF Bay,San Francisco,/company/zayo-group,Zayo Group,public_relations,USA,CO,Denver,Louisville,2013-08-19,2013-08,2013-Q3,2013,40000000,USD
